Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
705,39.1404226,0.002857300000002283,10.33.33.107,10.33.33.40,TCP,53,41764,"SYN,ACK",,False,0,1,65535,0,,,,,74,"53  >  41764 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=48428286 TSecr=2968781663 WS=512",HTTP_Burst,Anomalous
706,39.1408056,0.0003829999999993561,10.33.33.40,10.33.33.107,TCP,41764,53,ACK,,False,1,1,64256,0,,,,,66,41764  >  53 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2968781666 TSecr=48428286,HTTP_Burst,Anomalous
707,39.1411833,0.0003777000000013686,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,A,"android.clients.google.com,",,,158,"Standard query 0x0bde A android.clients.google.com, Standard query 0x54d8 AAAA android.clients.google.com",HTTP_Burst,Anomalous
708,39.1435676,0.002384299999995676,10.33.33.107,10.33.33.40,TCP,53,41764,ACK,,False,1,93,65536,0,,,,,66,53  >  41764 [ACK] Seq=1 Ack=93 Win=65536 Len=0 TSval=48428289 TSecr=2968781666,HTTP_Burst,Anomalous
709,39.8347549,0.6911873000000028,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,HTTPS,encrypted-tbn0.gstatic.com,,,86,Standard query 0x90d7 HTTPS encrypted-tbn0.gstatic.com,HTTP_Burst,Anomalous
710,39.8350822,0.00032730000000213977,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,AAAA,encrypted-tbn0.gstatic.com,,,86,Standard query 0x3b7d AAAA encrypted-tbn0.gstatic.com,HTTP_Burst,Anomalous
711,39.8353404,0.00025819999999754373,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,A,encrypted-tbn0.gstatic.com,,,86,Standard query 0xa497 A encrypted-tbn0.gstatic.com,HTTP_Burst,Anomalous
712,39.8392415,0.0039011000000002127,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,198,Standard query response 0x3b7d AAAA encrypted-tbn0.gstatic.com AAAA 2404:6800:4000:101d::8a AAAA 2404:6800:4000:101d::64 AAAA 2404:6800:4000:101d::8b AAAA 2404:6800:4000:101d::71,HTTP_Burst,Anomalous
713,39.8393544,0.00011289999999775091,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,102,Standard query response 0xa497 A encrypted-tbn0.gstatic.com A 142.250.70.78,HTTP_Burst,Anomalous
714,39.8666849,0.02733050000000503,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,143,Standard query response 0x90d7 HTTPS encrypted-tbn0.gstatic.com SOA ns1.google.com,HTTP_Burst,Anomalous
715,40.7730656,0.9063806999999997,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,HTTPS,vtop.vit.ac.in,,,74,Standard query 0x62b0 HTTPS vtop.vit.ac.in,HTTP_Burst,Anomalous
716,40.7733751,0.00030950000000018463,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,AAAA,vtop.vit.ac.in,,,74,Standard query 0xd6fd AAAA vtop.vit.ac.in,HTTP_Burst,Anomalous
717,40.7736033,0.00022819999999512675,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,A,vtop.vit.ac.in,,,74,Standard query 0x46f7 A vtop.vit.ac.in,HTTP_Burst,Anomalous
718,40.8269944,0.053391099999998914,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,155,Standard query response 0x62b0 HTTPS vtop.vit.ac.in SOA ns-389.awsdns-48.com,HTTP_Burst,Anomalous
719,40.8359276,0.008933200000001307,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,90,Standard query response 0x46f7 A vtop.vit.ac.in A 122.184.65.23,HTTP_Burst,Anomalous
720,40.8457524,0.009824800000004075,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,102,Standard query response 0xd6fd AAAA vtop.vit.ac.in AAAA 64:ff9b::7ab8:4117,HTTP_Burst,Anomalous
721,42.067827,1.2220745999999991,10.33.33.87,4.213.25.242,TCP,49411,443,ACK,,False,1,1,252,1,,,,,55,49411  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1,HTTP_Burst,Anomalous
722,42.1081467,0.04031969999999774,4.213.25.242,10.33.33.87,TCP,443,49411,ACK,,False,1,2,7086,0,,,,,70,443  >  49411 [ACK] Seq=1 Ack=2 Win=7086 Len=0 SLE=1 SRE=2,HTTP_Burst,Anomalous
723,43.8642098,1.7560630999999987,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,HTTPS,www.google.com,,,74,Standard query 0xe1f8 HTTPS www.google.com,HTTP_Burst,Anomalous
