Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
83,13.108459,0.0004907999999996804,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,15708,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=15708 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 89],Large_Download,Anomalous
84,13.108459,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,17048,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=17048 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 89],Large_Download,Anomalous
85,13.108459,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,18388,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=18388 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 89],Large_Download,Anomalous
86,13.108459,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,19728,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=19728 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 89],Large_Download,Anomalous
87,13.108459,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,21068,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=21068 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 89],Large_Download,Anomalous
88,13.108459,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,22408,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=22408 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 89],Large_Download,Anomalous
89,13.108459,0.0,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,444,Application Data,Large_Download,Anomalous
90,13.1087797,0.0003206999999996185,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,133,Application Data,Large_Download,Anomalous
91,13.1090483,0.00026860000000006323,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,24217,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=24217 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 97],Large_Download,Anomalous
92,13.1090483,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,25557,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=25557 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 97],Large_Download,Anomalous
