Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
7682,307.0927184,7.1600000012495e-05,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,574743,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=574743 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7689],Full_Port_Scan,Anomalous
7683,307.0927184,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,576083,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=576083 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7689],Full_Port_Scan,Anomalous
7684,307.0927184,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,577423,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=577423 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7689],Full_Port_Scan,Anomalous
7685,307.0927184,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,578763,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=578763 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7689],Full_Port_Scan,Anomalous
7686,307.0927184,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,580103,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=580103 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7689],Full_Port_Scan,Anomalous
7687,307.0927184,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,581443,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=581443 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7689],Full_Port_Scan,Anomalous
7688,307.0927184,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,582783,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=582783 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7689],Full_Port_Scan,Anomalous
7689,307.0927184,0.0,10.33.33.87,4.145.11.36,TLSV1.3,,,,,False,,,,,,,,,1394,Application Data,Full_Port_Scan,Anomalous
7690,307.0927184,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,585463,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=585463 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7703],Full_Port_Scan,Anomalous
7691,307.0927184,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,586803,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=586803 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7703],Full_Port_Scan,Anomalous
7692,307.0958712,0.003152799999952549,4.145.11.36,10.33.33.87,TCP,443,44527,ACK,,False,9204,290663,4195328,0,,,,,58,443  >  44527 [ACK] Seq=9204 Ack=290663 Win=4195328 Len=0,Full_Port_Scan,Anomalous
7693,307.095872,8.000000093488779e-07,4.145.11.36,10.33.33.87,TCP,443,44527,ACK,,False,9204,294683,4195328,0,,,,,58,443  >  44527 [ACK] Seq=9204 Ack=294683 Win=4195328 Len=0,Full_Port_Scan,Anomalous
7694,307.095949,7.700000003296736e-05,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,588143,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=588143 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7703],Full_Port_Scan,Anomalous
7695,307.095949,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,589483,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=589483 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7703],Full_Port_Scan,Anomalous
7696,307.095949,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,590823,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=590823 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7703],Full_Port_Scan,Anomalous
7697,307.095949,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,592163,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=592163 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7703],Full_Port_Scan,Anomalous
7698,307.095949,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,593503,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=593503 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7703],Full_Port_Scan,Anomalous
7699,307.095949,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,594843,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=594843 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7703],Full_Port_Scan,Anomalous
7700,307.095949,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,596183,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=596183 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7703],Full_Port_Scan,Anomalous
7701,307.095949,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,597523,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=597523 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7703],Full_Port_Scan,Anomalous
7702,307.095949,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,598863,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=598863 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7703],Full_Port_Scan,Anomalous
7703,307.095949,0.0,10.33.33.87,4.145.11.36,TLSV1.3,,,,,False,,,,,,,,,1394,Application Data,Full_Port_Scan,Anomalous
