Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
512,80.9931316,2.9999999640040187e-07,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,1,6702,552,0,,,,,58,443  >  63074 [ACK] Seq=1 Ack=6702 Win=552 Len=0,Aggressive_Scan,Anomalous
513,80.9932405,0.00010890000000074451,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,1,8042,552,0,,,,,58,443  >  63074 [ACK] Seq=1 Ack=8042 Win=552 Len=0,Aggressive_Scan,Anomalous
514,80.9933571,0.00011659999999835691,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,1,9382,552,0,,,,,58,443  >  63074 [ACK] Seq=1 Ack=9382 Win=552 Len=0,Aggressive_Scan,Anomalous
515,80.9948549,0.0014978000000098746,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,1,10722,552,0,,,,,58,443  >  63074 [ACK] Seq=1 Ack=10722 Win=552 Len=0,Aggressive_Scan,Anomalous
516,80.9948555,5.999999928008037e-07,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,1,13402,552,0,,,,,58,443  >  63074 [ACK] Seq=1 Ack=13402 Win=552 Len=0,Aggressive_Scan,Anomalous
517,80.9948809,2.5399999998398926e-05,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,1,14742,552,0,,,,,58,443  >  63074 [ACK] Seq=1 Ack=14742 Win=552 Len=0,Aggressive_Scan,Anomalous
518,80.9949319,5.099999999913507e-05,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,1,16408,552,0,,,,,58,443  >  63074 [ACK] Seq=1 Ack=16408 Win=552 Len=0,Aggressive_Scan,Anomalous
519,80.9967959,0.0018639999999976453,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,1,17462,552,0,,,,,58,443  >  63074 [ACK] Seq=1 Ack=17462 Win=552 Len=0,Aggressive_Scan,Anomalous
520,80.9969505,0.0001546000000018921,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,1,17501,552,0,,,,,58,443  >  63074 [ACK] Seq=1 Ack=17501 Win=552 Len=0,Aggressive_Scan,Anomalous
521,80.9970166,6.609999999795946e-05,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,97,Application Data,Aggressive_Scan,Anomalous
522,81.037394,0.04037740000001122,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,17501,40,511,0,,,,,54,63074  >  443 [ACK] Seq=17501 Ack=40 Win=511 Len=0,Aggressive_Scan,Anomalous
523,81.1289633,0.09156929999998908,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,599,Application Data,Aggressive_Scan,Anomalous
524,81.1290397,7.640000001174485e-05,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,104,Application Data,Aggressive_Scan,Anomalous
525,81.1290703,3.059999998811236e-05,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,17501,627,509,0,,,,,54,63074  >  443 [ACK] Seq=17501 Ack=627 Win=509 Len=0,Aggressive_Scan,Anomalous
526,81.129126,5.570000000432174e-05,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,Aggressive_Scan,Anomalous
527,81.1310025,0.0018764999999945076,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,Aggressive_Scan,Anomalous
528,81.2041594,0.07315690000000075,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,658,17536,552,0,,,,,58,443  >  63074 [ACK] Seq=658 Ack=17536 Win=552 Len=0,Aggressive_Scan,Anomalous
529,82.8457024,1.6415429999999986,10.33.33.87,57.144.43.32,TCP,32234,443,ACK,TCP Keep-Alive,True,5989,6326,65280,1,,,,,55,[TCP Keep-Alive] 32234  >  443 [ACK] Seq=5989 Ack=6326 Win=65280 Len=1,Aggressive_Scan,Anomalous
530,82.8845024,0.03880000000000905,57.144.43.32,10.33.33.87,TCP,443,32234,ACK,TCP Keep-Alive ACK,True,6326,5990,81664,0,,,,,58,[TCP Keep-Alive ACK] 443  >  32234 [ACK] Seq=6326 Ack=5990 Win=81664 Len=0,Aggressive_Scan,Anomalous
531,84.4853731,1.6008707000000015,160.79.104.10,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,101,Application Data,Aggressive_Scan,Anomalous
532,84.4873877,0.0020145999999954256,10.33.33.87,160.79.104.10,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,Aggressive_Scan,Anomalous
533,84.4874799,9.219999999743322e-05,10.33.33.87,160.79.104.10,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,Aggressive_Scan,Anomalous
534,84.5168169,0.02933699999999817,160.79.104.10,10.33.33.87,TCP,443,33438,ACK,,False,388,561,18,0,,,,,58,443  >  33438 [ACK] Seq=388 Ack=561 Win=18 Len=0,Aggressive_Scan,Anomalous
535,87.5819971,3.0651802000000004,57.144.43.32,10.33.33.87,TCP,5222,45479,"PSH,ACK",,False,13705,7058,81664,230,,,,,288,"5222  >  45479 [PSH, ACK] Seq=13705 Ack=7058 Win=81664 Len=230 [TCP PDU reassembled in 579]",Aggressive_Scan,Anomalous
536,87.6098422,0.027845100000007506,57.144.43.32,10.33.33.87,TCP,5222,45479,"PSH,ACK",TCP Retransmission,True,13705,7058,81664,230,,,,,288,"[TCP Retransmission] 5222  >  45479 [PSH, ACK] Seq=13705 Ack=7058 Win=81664 Len=230 [TCP PDU reassembled in 579]",Aggressive_Scan,Anomalous
537,87.6098879,4.57000000011476e-05,10.33.33.87,57.144.43.32,TCP,45479,5222,ACK,,False,7058,13935,65280,0,,,,,66,45479  >  5222 [ACK] Seq=7058 Ack=13935 Win=65280 Len=0 SLE=13705 SRE=13935,Aggressive_Scan,Anomalous
538,87.6252392,0.015351299999991852,10.33.33.87,57.144.43.32,TCP,45479,5222,"PSH,ACK",,False,7058,13935,65280,70,,,,,124,"45479  >  5222 [PSH, ACK] Seq=7058 Ack=13935 Win=65280 Len=70 [TCP PDU reassembled in 576]",Aggressive_Scan,Anomalous
539,87.6501574,0.02491820000000189,57.144.43.32,10.33.33.87,TCP,5222,45479,ACK,,False,13935,7128,81664,0,,,,,58,5222  >  45479 [ACK] Seq=13935 Ack=7128 Win=81664 Len=0,Aggressive_Scan,Anomalous
540,87.6901221,0.03996469999999874,10.33.33.87,52.123.128.254,TCP,53477,443,ACK,TCP Keep-Alive,True,1,1,250,1,,,,,55,[TCP Keep-Alive] 53477  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1,Aggressive_Scan,Anomalous
541,87.7393666,0.04924450000000036,52.123.128.254,10.33.33.87,TCP,443,53477,ACK,TCP Keep-Alive ACK,True,1,2,49155,0,,,,,70,[TCP Keep-Alive ACK] 443  >  53477 [ACK] Seq=1 Ack=2 Win=49155 Len=0 SLE=1 SRE=2,Aggressive_Scan,Anomalous
542,87.8462114,0.10684480000000462,57.144.43.32,10.33.33.87,TCP,5222,45479,"PSH,ACK",,False,13935,7128,81664,72,,,,,130,"5222  >  45479 [PSH, ACK] Seq=13935 Ack=7128 Win=81664 Len=72 [TCP PDU reassembled in 579]",Aggressive_Scan,Anomalous
543,87.8815949,0.03538349999999468,10.33.33.87,57.144.43.32,TCP,45479,5222,"PSH,ACK",,False,7128,14007,65280,74,,,,,128,"45479  >  5222 [PSH, ACK] Seq=7128 Ack=14007 Win=65280 Len=74 [TCP PDU reassembled in 576]",Aggressive_Scan,Anomalous
544,87.9301646,0.0485697000000016,57.144.43.32,10.33.33.87,TCP,5222,45479,ACK,,False,14007,7202,81664,0,,,,,58,5222  >  45479 [ACK] Seq=14007 Ack=7202 Win=81664 Len=0,Aggressive_Scan,Anomalous
545,88.0192133,0.08904870000000642,10.33.33.87,204.79.197.254,TCP,18083,443,ACK,TCP Keep-Alive,True,1,1,251,1,,,,,55,[TCP Keep-Alive] 18083  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1,Aggressive_Scan,Anomalous
546,88.0611285,0.04191519999999116,204.79.197.254,10.33.33.87,TCP,443,18083,ACK,TCP Keep-Alive ACK,True,1,2,16385,0,,,,,70,[TCP Keep-Alive ACK] 443  >  18083 [ACK] Seq=1 Ack=2 Win=16385 Len=0 SLE=1 SRE=2,Aggressive_Scan,Anomalous
547,88.2635726,0.20244410000000812,10.33.33.87,13.107.4.254,TCP,43532,443,ACK,TCP Keep-Alive,True,1,1,250,1,,,,,55,[TCP Keep-Alive] 43532  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1,Aggressive_Scan,Anomalous
548,88.314664,0.05109139999999002,13.107.4.254,10.33.33.87,TCP,443,43532,ACK,TCP Keep-Alive ACK,True,1,2,16388,0,,,,,70,[TCP Keep-Alive ACK] 443  >  43532 [ACK] Seq=1 Ack=2 Win=16388 Len=0 SLE=1 SRE=2,Aggressive_Scan,Anomalous
549,89.7378099,1.4231459000000086,10.33.33.87,35.186.224.24,TCP,57590,443,SYN,,False,0,,65535,0,,,,,66,57590  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,Aggressive_Scan,Anomalous
550,89.7730316,0.035221699999993916,35.186.224.24,10.33.33.87,TCP,443,57590,"SYN,ACK",,False,0,1,65535,0,,,,,70,"443  >  57590 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=256",Aggressive_Scan,Anomalous
551,89.7732014,0.00016980000000899054,10.33.33.87,35.186.224.24,TCP,57590,443,ACK,,False,1,1,65280,0,,,,,54,57590  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0,Aggressive_Scan,Anomalous
552,89.7772625,0.004061100000001261,10.33.33.87,35.186.224.24,TLSV1.3,,,,,False,,,,,,,spclient.wg.spotify.com,,828,Client Hello (SNI=spclient.wg.spotify.com),Aggressive_Scan,Anomalous
553,89.8214753,0.04421279999999683,35.186.224.24,10.33.33.87,TCP,443,57590,ACK,,False,1,775,269056,0,,,,,58,443  >  57590 [ACK] Seq=1 Ack=775 Win=269056 Len=0,Aggressive_Scan,Anomalous
554,89.8247547,0.0032793999999967127,35.186.224.24,10.33.33.87,TLSV1.3,,,,,False,,,,,,,,,277,"Server Hello, Change Cipher Spec, Application Data",Aggressive_Scan,Anomalous
555,89.8266802,0.0019254999999986921,10.33.33.87,35.186.224.24,TLSV1.3,,,,,False,,,,,,,,,134,"Change Cipher Spec, Application Data",Aggressive_Scan,Anomalous
556,89.8469723,0.02029210000000603,10.33.33.87,35.186.224.24,TLSV1.3,,,,,False,,,,,,,,,630,Application Data,Aggressive_Scan,Anomalous
557,89.8470284,5.609999999478532e-05,10.33.33.87,35.186.224.24,TLSV1.3,,,,,False,,,,,,,,,205,Application Data,Aggressive_Scan,Anomalous
558,89.8702259,0.023197499999994875,35.186.224.24,10.33.33.87,TCP,443,57590,ACK,,False,220,855,269056,0,,,,,58,443  >  57590 [ACK] Seq=220 Ack=855 Win=269056 Len=0,Aggressive_Scan,Anomalous
559,89.8913,0.02107410000000698,35.186.224.24,10.33.33.87,TCP,443,57590,ACK,,False,220,1431,268544,0,,,,,58,443  >  57590 [ACK] Seq=220 Ack=1431 Win=268544 Len=0,Aggressive_Scan,Anomalous
560,89.8925222,0.0012222000000008393,35.186.224.24,10.33.33.87,TCP,443,57590,ACK,,False,220,1582,268544,0,,,,,58,443  >  57590 [ACK] Seq=220 Ack=1582 Win=268544 Len=0,Aggressive_Scan,Anomalous
561,89.995279,0.10275679999999454,35.186.224.24,10.33.33.87,TLSV1.3,,,,,False,,,,,,,,,1075,"Application Data, Application Data",Aggressive_Scan,Anomalous
562,90.0353476,0.0400685999999979,10.33.33.87,35.186.224.24,TCP,57590,443,ACK,,False,1582,1237,64256,0,,,,,54,57590  >  443 [ACK] Seq=1582 Ack=1237 Win=64256 Len=0,Aggressive_Scan,Anomalous
563,90.6466402,0.6112925999999987,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,A,android.clients.google.com,,,86,Standard query 0xf113 A android.clients.google.com,Aggressive_Scan,Anomalous
564,90.6467474,0.00010720000000219443,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,AAAA,android.clients.google.com,,,86,Standard query 0xcd11 AAAA android.clients.google.com,Aggressive_Scan,Anomalous
565,90.6805592,0.033811800000009384,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,366,Standard query response 0xf113 A android.clients.google.com CNAME android.l.google.com A 142.250.207.206 A 142.250.195.46 A 142.250.206.110 A 142.250.71.110 A 142.250.205.206 A 142.250.143.113 A 142.250.143.138 A 142.250.146.100 A 142.250.146.101 A 142.250.146.138 A 142.250.146.139 A 142.250.146.102 A 142.250.146.113 A 142.250.206.142 A 142.250.194.238 A 142.250.195.14,Aggressive_Scan,Anomalous
566,90.6959346,0.015375399999996375,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,110,Standard query response 0xcd11 AAAA android.clients.google.com CNAME android.l.google.com,Aggressive_Scan,Anomalous
567,90.6968366,0.0009019999999964057,10.33.33.40,10.33.33.107,TCP,33294,53,SYN,,False,0,,64240,0,,,,,74,33294  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2969209841 TSecr=0 WS=128,Aggressive_Scan,Anomalous
568,90.6994989,0.0026622999999972308,10.33.33.107,10.33.33.40,TCP,53,33294,"SYN,ACK",,False,0,1,65535,0,,,,,74,"53  >  33294 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=48799319 TSecr=2969209841 WS=512",Aggressive_Scan,Anomalous
569,90.6999177,0.0004188000000056036,10.33.33.40,10.33.33.107,TCP,33294,53,ACK,,False,1,1,64256,0,,,,,66,33294  >  53 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2969209845 TSecr=48799319,Aggressive_Scan,Anomalous
570,90.700238,0.0003202999999984968,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,A,"android.clients.google.com,",,,158,"Standard query 0xf113 A android.clients.google.com, Standard query 0xcd11 AAAA android.clients.google.com",Aggressive_Scan,Anomalous
